Space (asteroids, no random);//name-------------------------------------------
  0;//identifier
  1;//can be a random map
  200;//light oscillate time
  0.000000;//light r phase shift
  0.000000;//light g phase shift
  0.000000;//light b phase shift
  0.900000;//light r amplitude
  1.000000;//light g amplitude
  1.000000;//light b amplitude
  0.700000;//light max r
  0.700000;//light max g
  0.700000;//light max b
  0.700000;//light min r
  0.700000;//light min g
  0.700000;//light min b
  0.000000;//night temperature
  0.000000;//day temperature
  4.000000;//maximum wind speed
  -1;//rain particle, -1=no rain
  300;//rain_particle_life_min
  800;//rain_particle_life_max
  15000;//rain_probability (the bigger the number, the more unlikely the rain)
  5000;//rain_time_min
  15000;//rain_time_max
  begin_effects_block;//    
  end_effects_block;
  start_of_terrains;//  
  2;
  end_of_terrains;
  start_of_night_sounds;
  explosion2.wav;
  explosion1.wav;
  end_of_night_sounds;
  start_of_day_sounds;
  explosion2.wav;
  explosion1.wav;
  end_of_day_sounds;
  start_of_props;
  end_of_props;
Wolf IV;//name----------------------------------------------------------------
  1;//identifier
  0;//can be a random map
  0;//light oscillate time
  0.000000;//light r phase shift
  0.000000;//light g phase shift
  0.000000;//light b phase shift
  0.900000;//light r amplitude
  1.000000;//light g amplitude
  1.000000;//light b amplitude
  0.700000;//light max r
  0.700000;//light max g
  0.700000;//light max b
  0.700000;//light min r
  0.700000;//light min g
  0.700000;//light min b
  0.200000;//night temperature
  0.200000;//day temperature
  0.500000;//maximum wind speed
  -1;//rain particle, -1=no rain
  300;//rain_particle_life_min
  800;//rain_particle_life_max
  15000;//rain_probability (the bigger the number, the more unlikely the rain)
  5000;//rain_time_min
  15000;//rain_time_max
  begin_effects_block;//    
  end_effects_block;
  start_of_terrains;//  
  2;
  end_of_terrains;
  start_of_night_sounds;
  siren1.wav;
  siren2.wav;
  computer2.wav;
  wrench.wav;
  machinery.wav;
  machinery2.wav;
  machinery3.wav;
  machinery4.wav;
  machinery5.wav;
  machinery6.wav;
  machinery7.wav;
cp1.wav;
  cp2.wav;
cp3.wav;
  cp4.wav;
cp5.wav;
  cp6.wav;
cp7.wav;

  cp8.wav;
cp9.wav;
  cp10.wav;
cp11.wav;
  cp12.wav;
cp13.wav;
  cp14.wav;
cp15.wav;
  cp16.wav;
cp17.wav;
cp18.wav;
  cp19.wav;
cp13.wav;
  cp20.wav;
cp15.wav;
  cp21.wav;
cp22.wav;
  end_of_night_sounds;
  start_of_day_sounds;
  siren1.wav;
  siren2.wav;
  computer2.wav;
  wrench.wav;
  machinery.wav;
  machinery2.wav;
  machinery3.wav;
  machinery4.wav;
  machinery5.wav;
  machinery6.wav;
  machinery7.wav;
cp1.wav;
  cp2.wav;
cp3.wav;
  cp4.wav;
cp5.wav;
  cp6.wav;
cp7.wav;
  cp8.wav;
cp9.wav;
  cp10.wav;
cp11.wav;
  cp12.wav;
cp13.wav;
  cp14.wav;
cp15.wav;
  cp16.wav;
cp17.wav;
cp18.wav;
  cp19.wav;
cp13.wav;
  cp20.wav;
cp15.wav;
  cp21.wav;
cp22.wav;
  end_of_day_sounds;
  start_of_props;
  0;//object definition number		ast1
    0;//number of these on a 100*100 map
  end_of_props;
Jungle;//name-----------------------------------------------------------------
  2;//identifier
  1;//can be a random map
  200;//light oscillate time
  0.000000;//light r phase shift
  -0.100000;//light g phase shift
  -0.100000;//light b phase shift
  1.000000;//light r amplitude
  1.000000;//light g amplitude
  1.000000;//light b amplitude
  0.800000;//light max r
  0.700000;//light max g
  0.700000;//light max b
  0.300000;//light min r
  0.300000;//light min g
  0.600000;//light min b
  -0.500000;//night temperature
  0.500000;//day temperature
  0.500000;//maximum wind speed
  8;//rain particle, -1=no rain
  300;//rain_particle_life_min
  2000;//rain_particle_life_max
  10000;//rain_probability (the bigger the number, the more unlikely the rain)
  5000;//rain_time_min
  15000;//rain_time_max
