0=standard ship weapons (for human: big gun no multp.), 1=teeth/jaw attacks, 2=thruster/reverse firing weapons, 3=hand-laser pistol), 4=hand-projectile (pistol), 5=hand-projectile (machinegun), 6=hand-laser (machinegun), 7=Flame weapons (big gun), 8=jetpack/mines/dynamite/airstrike (backpack), 9=knife hit melee (harms animals more), 10=Pick/mining/knifethrow (only thing to hurt rocks), 11=hand (bow harms animals more), 12=fusion, 13=alien tech, 14=space mining, 15=ECM;//weapon class names
;//name---------------------------------------
  0;//identifier
  0;//class
  bullet0.tga;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  1.000000;//bullet speed
  1.000000;//time until bullet disappears
  1000000;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Particle Parameter Holder;//name---------------------------------------
  1;//identifier
  0;//class
  bullet0.tga;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.300000;//spread
  0.700000;//bullet speed
  250.000000;//time until bullet disappears
  500;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Rear Thrusters;//name--------------------------------------- weapon fires weapon
  2;//identifier
  2;//class
  invisible.png;//bullet texture
  1;//bullets at one shot
  1;//stop at hit 0=stop where hit, 1=don't stop
  1.000000;//bullet size
  0.000000;//spread
  1.300000;//bullet speed
  100.000000;//time until bullet disappears
  40;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  fire.wav;//hit sound
  0.050000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  3;//condition
    1.000000;//condition parameter0
    0.330000;//condition parameter1  
  end_wield_conditions;
  begin_fire_effects;
  4;//effect number
    -0.330000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
  14;//effect number
    1.000000;//parameter1
    1.300000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4
  65;//effect number
    47.000000;//parameter1
    2.000000;//parameter2
    3.000000;//parameter3
    0.000000;//parameter4    
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Laser Cannon (S);//name---------------------------------------
  3;//identifier
  1;//class
  laser_small3.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  5.000000;//bullet size
  0.000000;//spread
  1.100000;//bullet speed
  600.000000;//time until bullet disappears
  130;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.100000;//push target back
  0.000000;//push shooter back
  laser2.wav;//fire sound
  hit.wav;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  3;//condition
    1.000000;//condition parameter0
    0.250000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
  27;//effect number
    3.000000;//parameter1
    50.000000;//parameter2
    0.300000;//parameter3
    0.350000;//parameter4  
  27;//effect number
    4.000000;//parameter1
    50.000000;//parameter2
    1.300000;//parameter3
    1.400000;//parameter4 
  4;//effect number
    -0.250000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -8.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    2.000000;//parameter1
